Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Composer Nmae,Original Song Estimate
"Merry-Go-Round of Life (From ""Howl's Moving Castle"") [Piano Version]",6arSWBJI9VoTUpqcAURpOC,Nikolai Tal,10865860,2022-07-13,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/39uLYYZytVUwcjgeYLI409'}
"君をのせて / Carrying You (From ""Laputa Castle In The Sky"") - Instrumental Piano",2cVFJcf0DtAmC42zwBKsHX,Architect of Dreams,11616689,2023-01-12,"Joe Hisaishi, Hayao Miyazaki",{'spotify': 'https://open.spotify.com/track/55AEtoeFgM4EtZL8MIDxEq'}
"Toki Ni Wa / Ending Song (From ""Porco Rosso"") - Instrumental Piano",4xsX0KN45ouidlJOgWF2aN,Architect of Dreams,4891822,2023-01-12,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/4xsX0KN45ouidlJOgWF2aN'}
"Main Theme (From ""Ponyo on the Cliff by the Sea"") - Instrumental Piano",0AmLgVRvgrwTFAaUbU7mTF,Architect of Dreams,4682459,2023-01-12,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/2CQSlBjeFpS3PiaVnrajZJ'}
"Therru's Song (From ""Tales From Earthsea"")",5FbEPkUatR515uomWFcPf3,Architect of Dreams,4503768,2023-01-12,"Goto Miyazaki, Hiroko Taniyama",{'spotify': 'https://open.spotify.com/track/5FbEPkUatR515uomWFcPf3'}
"さよならの夏 / Summer of Farewells / Theme Song (From ""Up On Poppy Hill"")",5LXP7cKKMyV9OwYesFRqdq,Architect of Dreams,4171461,2023-01-12,"Koichi Sakata, Yukiko Marimura",{'spotify': 'https://open.spotify.com/track/1jaqgWFPW5f5ncPEzABSuC'}
"Sadness and Sorrow (From ""Naruto"")",1sbtlxnooEBDFwBmPNeoWP,Kenzie Smith Piano,10647633,2017-11-20,,{'spotify': 'https://open.spotify.com/track/4U2v1vLfpfNjOEXVuY1aHd'}
Shigatsu Wa Kimi No Uso - Hikaru Nara [Soft Version],6gdMat5d3oWN0cBnex17XH,Kenzie Smith Piano,8422587,2015-12-30,,{'spotify': 'https://open.spotify.com/track/6gdMat5d3oWN0cBnex17XH'}
Angel Beats! - Unjust Life,6BvYc4a5LEMtAzUDLTkTcT,Kenzie Smith Piano,4260976,2015-08-03,,{'spotify': 'https://open.spotify.com/track/6BvYc4a5LEMtAzUDLTkTcT'}
"I Will (From ""Ao Haru Ride"")",2MGl6n14QcvZoAsJR4oIyo,Kenzie Smith Piano,6090724,2017-02-27,,{'spotify': 'https://open.spotify.com/track/2MGl6n14QcvZoAsJR4oIyo'}
"Bink's Sake (From ""One Piece"")",2H9eC19r43O36SSHSswGXe,daigoro789,4783817,2018-01-11,Eiichiro Oda,{'spotify': 'https://open.spotify.com/track/10k0lsnn9CkcPsmEN8EHXa'}
carrying you,5HiSz4i1Pzye7fZGBPHXTW,kohto,1630176,2023-10-11,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/6rCYEtiDH0y41jlBg9SKMT'}
merry-go-round of life,4cEcxpWP2j65cSJ9NCvcvu,kohto,1528622,2023-07-09,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/39uLYYZytVUwcjgeYLI409'}
mother,4z2wrekGqpbwELg20wHiX4,kohto,1142352,2023-10-11,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/1GEOSS415bZVHNuXWlCT6b'}
the promise of the world,70aGYcsb26JG7YYdEqJmFJ,kohto,1248795,2023-07-31,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/6GvNgLp8pQUNdvVXtNbIo3'}
song of storms,3tVOJ7dAynWYQuGBeXX5Ex,kohto,2123288,2022-09-23,Koji Kondo,{'spotify': 'https://open.spotify.com/track/2ehxBkLyfsQz6SNy4XMEj4'}
And Me,3n1eLefttrxWj1aM5Ggk8s,Helios Relaxing Space,2001535,2023-09-18,Helios Relaxing Space,{'spotify': 'https://open.spotify.com/track/0815caqt2Lytro5EIzMufT'}
